,škola,třída,datum narození,datum testu,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,subtest 1,subtest 2,subtest 3,subtest 4,subtest 5,subtest 6,subtest 7,subtest 8,test 1,test 2,test 3,test 4, TMC
563,E,3.B,,,M,3.0,2.0,0.0,0.0,11.0,12.0,10.0,2.0,3.0,6.0,4.0,4.0,5.0,4.0,6.0,20.0,17.0,7.0,17.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,7.54,24.0,52.0,40.0,48.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,150.0,23.0,19.0,60.0,60.0,,,,,,,,,,,,,
564,E,3.B,,,F,3.0,3.0,0.0,2.0,11.0,12.0,12.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,6.0,39.0,16.0,9.0,26.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.96,17.0,42.0,31.0,37.0,5.0,5.0,2.0,3.0,10.0,10.0,3.0,100.0,2.0,15.0,60.0,60.0,,,,,,,,,,,,,
565,E,3.B,,,M,3.0,2.0,0.0,15.0,9.0,9.0,11.0,3.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,39.0,16.0,9.0,10.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.57,17.0,40.0,25.0,35.0,5.0,5.0,4.0,5.0,10.0,10.0,4.0,90.0,5.0,12.0,60.0,12.0,,,,,,,,,,,,,
566,E,3.B,,,M,3.0,3.0,0.0,1.0,11.0,11.0,12.0,4.0,5.0,6.0,4.0,5.0,4.0,3.0,4.0,42.0,17.0,6.0,17.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,7.15,21.0,43.0,36.0,45.0,5.0,5.0,5.0,3.0,10.0,10.0,4.0,170.0,21.0,21.0,60.0,60.0,,,,,,,,,,,,,
567,E,3.B,,,M,3.0,3.0,0.0,4.0,9.0,6.0,12.0,4.0,5.0,5.0,3.0,5.0,5.0,0.0,4.0,13.0,21.0,6.0,15.0,5.0,4.0,3.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.38,18.0,37.0,28.0,39.0,5.0,5.0,4.0,4.0,10.0,10.0,2.0,130.0,25.0,20.0,60.0,60.0,,,,,,,,,,,,,
568,E,3.B,,,M,2.0,2.0,1.0,5.0,10.0,7.0,12.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,25.0,12.0,6.0,14.0,5.0,4.0,5.0,5.0,0.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.66,12.0,45.0,12.0,27.0,3.0,5.0,1.0,3.0,4.0,3.0,2.0,100.0,3.0,9.0,35.0,60.0,,,,,,,,,,,,,
569,E,3.B,,,M,3.0,3.0,0.0,2.0,11.0,5.0,12.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,43.0,17.0,8.0,17.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,5.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,10.12,14.0,40.0,24.0,18.0,5.0,1.0,3.0,2.0,10.0,3.0,3.0,90.0,0.0,11.0,35.0,40.0,,,,,,,,,,,,,
570,E,3.B,,,M,3.0,3.0,0.0,0.0,11.0,9.0,12.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,22.0,13.0,6.0,13.0,5.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.27,14.0,38.0,31.0,34.0,5.0,2.0,2.0,4.0,10.0,8.0,2.0,140.0,6.0,13.0,30.0,20.0,,,,,,,,,,,,,
571,E,3.B,,,F,3.0,3.0,0.0,0.0,10.0,12.0,12.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,37.0,19.0,9.0,24.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,9.14,21.0,37.0,36.0,34.0,4.0,4.0,5.0,2.0,10.0,10.0,2.0,130.0,0.0,15.0,60.0,60.0,,,,,,,,,,,,,
572,E,3.B,,,M,3.0,2.0,1.0,6.0,11.0,4.0,12.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,27.0,17.0,9.0,25.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,5.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,9.56,12.0,35.0,23.0,33.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,80.0,2.0,2.0,60.0,25.0,,,,,,,,,,,,,
573,E,3.B,,,F,3.0,3.0,0.0,4.0,10.0,8.0,12.0,4.0,4.0,6.0,4.0,5.0,5.0,4.0,3.0,21.0,14.0,9.0,18.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,8.59,21.0,37.0,33.0,35.0,4.0,5.0,4.0,4.0,6.0,10.0,3.0,100.0,6.0,14.0,60.0,60.0,,,,,,,,,,,,,
595,E,4.B,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,E,4.C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
